user_id,lang,pro,product,price,sail,kite,wind,surf,fish,snow,other,source,campaign,install_date
FA64312F-273A-41AB-BB9C-DB43AFE5B760,de_PL,0,,,0,0,0,0,0,0,1,Apple Search Ads,PL Discovery,01.02.2023
3FF6E426-B5D5-4C8B-A915-9FB58464EA50,en_NZ,0,,,1,0,0,0,1,0,0,Apple Search Ads,NZ Common_,01.02.2023
9C82BE9F-0212-47EA-872F-AF7237D43064,en_CA,1,co.windyapp.pro_sub_year_50_notrial,50,1,0,0,0,1,0,0,Apple Search Ads,CA Common_,01.02.2023
750657AF-3BB4-457A-9BBA-BE691CA5A75C,en_AR,0,,,0,1,0,0,0,0,0,Apple Search Ads,AR Skag,01.02.2023
A417C7DE-229E-4BB3-8BF0-17FA6883535E,ru_UA,0,,,0,0,0,0,0,0,1,Apple Search Ads,UA SKAG,01.02.2023
47D57894-8B0B-441F-A3CB-D35126C0DCCF,en_NZ,0,,,0,0,0,0,0,0,0,Apple Search Ads,NZ Common_,01.02.2023
71F5F711-36E2-4BAB-8515-011A8DC39201,en_ZA,1,co.windyapp.pro_sub_year_50_trial7d,50,0,0,0,0,0,0,1,Apple Search Ads,ZA Discovery,01.02.2023
1C597600-41BA-4CC9-B9F3-E6FC31034C1A,it_IT,0,,,0,0,0,0,1,0,0,Apple Search Ads,IT Common_,01.02.2023
19C3747E-4396-41E8-ADCC-4BAEA4565728,en_AU,0,,,0,0,0,1,0,0,0,Apple Search Ads,AU Discovery,01.02.2023
743235CF-46B5-4C8E-AC57-30D0C70EC275,de_DE,0,,,0,0,0,0,0,0,0,Apple Search Ads,DE Common_,01.02.2023
87AF7E44-0DFF-4912-B44D-4F9A32E4A7C5,en_US,1,co.windyapp.2210.pro_sub_year_100_trial7d,100,0,0,0,0,1,0,0,Apple Search Ads,US Common_,01.02.2023
E2ABD56C-E797-4815-898F-949D514A894A,en_US,0,,,0,0,0,0,0,0,1,Apple Search Ads,US Common_,01.02.2023
C85974E4-B380-4ECC-90BF-DE1DD1525ACC,ru_RU,0,,,0,0,0,0,0,0,1,Apple Search Ads,KZ Discovery,01.02.2023
63909BE8-514B-41AE-93BD-2ABA79B7E15F,fr_FR,0,,,0,1,0,0,0,0,0,Apple Search Ads,US Common_,01.02.2023
E14B24F5-FEB8-4DDF-A5C0-4A96BB7406A6,en_MY,0,,,0,0,0,0,0,0,0,Apple Search Ads,MY Discovery,01.02.2023
BEC7835D-C3A1-45D0-902E-D7ADAA5168BB,en_NZ,0,,,0,0,0,0,0,0,1,Apple Search Ads,NZ Common_,01.02.2023
9AB8A1D1-127F-4AE8-AEF0-C88173C7F0A3,ja_JP,0,,,0,0,0,0,1,0,0,Apple Search Ads,JP Common_,01.02.2023
8CEB9CF4-64AA-4C84-9A96-8EF44C49436B,en_HK,0,,,0,0,0,0,0,0,0,Apple Search Ads,MY SKAG,01.02.2023
6F5ED4B1-2FDE-413D-BC2B-E42784D9B510,en_CA,0,,,0,0,0,0,1,0,0,Apple Search Ads,CA Common_,01.02.2023
05195C89-79B6-4CF5-911F-96A366C89DE2,en_US,0,,,0,0,0,0,1,0,0,Apple Search Ads,US Common_,01.02.2023
